타임스탬프,성별,나이대,인지여부,사용경험,테무_1달사용횟수,테무_사용목적,테무_1달월구매횟수,테무_구매카테고리,테무_1달소득,테무_1달소비금액,테무_전체만족도,테무_신뢰도,테무_가격최저가,테무_제품정보표시,테무_후기/리뷰,테무_할인혜택,테무_제품품질,테무_가격대비품질,테무_배송,테무_사용이유,네이버_1달사용횟수,네이버_사용목적,네이버_1달월구매횟수,네이버_구매카테고리,네이버_1달소득,네이버_1달소비금액,네이버_전체만족도,네이버_신뢰도,네이버_가격최저가,네이버_제품정보표시,네이버_후기/리뷰,네이버_할인혜택,네이버_제품품질,네이버_가격대비품질,네이버_배송,네이버_사용이유,둘다_테무_1달사용횟수,둘다_네이버_1달사용횟수,둘다_테무_사용목적,둘다_네이버_사용목적,둘다_테무_최근1달월구매횟수,둘다_네이버_최근1달월구매횟수,둘다_테무_구매카테고리,둘다_네이버_구매카테고리,둘다_1달소득,둘다_테무_1달소비금액,둘다_네이버_1달소비금액,둘다_테무_전체만족도,둘다_테무_신뢰도,둘다_테무_가격최저가,둘다_테무_제품정보표시,둘다_테무_후기/리뷰,둘다_테무_할인혜택,둘다_테무_제품품질,둘다_테무_가격대비품질,둘다_테무_배송,둘다_네이버_전체만족도,둘다_네이버_신뢰도,둘다_네이버_가격최저가,둘다_네이버_제품정보표시,둘다_네이버_후기/리뷰,둘다_네이버_할인혜택,둘다_네이버_제품품질,둘다_네이버_가격대비품질,둘다_네이버_배송,"귀하의 테무, 네이버 쇼핑 이용 경험 공유 여부와 방식을 선택해주세요.(중복 가능)",테무를 추천할 의향이 있으신가요?(사용해 본 적이 없는 경우 선택X),네이버 쇼핑을 추천할 의향이 있으신가요? (사용해 본 적이 없는 경우 선택X),테무를 사용하지 않는 이유는 무엇입니까?(복수 응답 가능),네이버 쇼핑을 사용하지 않는 이유는 무엇입니까?(복수 응답 가능),"다른 쇼핑 사이트를 사용하고 계시다면 어떤 사이트를 사용하고 계십니까?
(타 사이트 사용 이유도 함께 적어주시면 감사하겠습니다.)"
5.11.2024 21:43:59,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",1~3회 구매,"식료품, 건강관리식품",30만원 이상~50만원 미만,3만원 미만,보통,보통,보통,보통,보통,보통,보통,보통,보통,테무는 잘 못 믿겠다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",1,3,,,
5.11.2024 21:51:45,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 온라인의 편리성",1~3회 구매,"전자기기, 가전제품",70만원 이상~90만원 미만,3만원 이상 5만원 미만,좋음,좋음,보통,매우 좋음,매우 좋음,매우 좋음,좋음,보통,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",2,4,,,
5.11.2024 21:59:36,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,좋은 혜택(할인/ 적립 등),4~6회 구매,의류,90만원 이상,3만원 미만,보통,좋음,좋음,좋음,매우 좋음,좋음,좋음,좋음,매우 좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",,4,,,
5.11.2024 22:04:06,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,11~15회 이용,"온라인의 편리성, 좋은 혜택(할인/ 적립 등)",0회 구매,"의류, 악세서리(주얼리)",90만원 이상,5만원 이상 7만원 미만,좋음,좋음,보통,좋음,좋음,매우 좋음,좋음,보통,보통,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,4,,,
5.11.2024 22:15:16,남,20대,네이버 쇼핑은 알고 테무는 모름,둘 다 사용해보지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"접해보지 못해서, 이미 다른 쇼핑 사이트를 쓰고 있어서",이미 다른 쇼핑 사이트를 쓰고 있어서,쿠팡/ 편리함
5.11.2024 22:17:23,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,정보 검색,1~3회 구매,"전자기기, 가전제품",30만원 이상~50만원 미만,3만원 미만,좋음,좋음,나쁨,보통,좋음,나쁨,좋음,보통,보통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,3,,,
5.11.2024 22:25:33,여,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,"온라인의 편리성, 좋은 혜택(할인/ 적립 등)","정보 검색, 온라인의 편리성",1~3회 구매,4~6회 구매,"의류, 악세서리(주얼리)","전자기기, 가전제품, 악세서리(주얼리), 기타",30만원 이상~50만원 미만,3만원 이상 5만원 미만,3만원 이상 5만원 미만,좋음,나쁨,보통,매우 나쁨,보통,좋음,좋음,매우 좋음,좋음,좋음,매우 좋음,보통,매우 좋음,좋음,좋음,좋음,좋음,매우 좋음,"테무/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/경험 공유는 한 적 없음",4,4,,,
5.11.2024 22:28:21,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 정보 검색",4~6회 구매,"전자기기, 가전제품, 기타",30만원 이상~50만원 미만,3만원 미만,보통,보통,보통,나쁨,나쁨,좋음,좋음,보통,좋음,"기업의 고객 개인정보 보호에 대한 상대적인 신뢰도 차이(네이버: 중하~중 / 테무: 하), 해외직배송상품 구매의 불편함, 상대적으로 익숙한 온라인 플랫폼을 사용하려는 심리적 관성",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,3,,,
5.11.2024 22:29:00,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"의류, 식료품, 건강관리식품, 악세서리(주얼리)",90만원 이상,3만원 이상 5만원 미만,보통,보통,보통,보통,보통,보통,보통,보통,보통,"가격적 측면에서의 장점, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",3,4,,,
5.11.2024 22:30:43,남,20대,둘 다 알고 있음,둘 다 사용해보지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,사용할 필요성을 못느껴서,이미 다른 쇼핑 사이트를 쓰고 있어서,"쿠팡, 편리하고 정액제 혜택이 좋아서 사용"
5.11.2024 22:41:37,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,좋은 혜택(할인/ 적립 등),0회 구매,의류,90만원 이상,5만원 이상 7만원 미만,좋음,좋음,보통,보통,보통,좋음,좋음,좋음,좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,,,,
5.11.2024 22:42:22,남,20대,둘 다 알고 있음,둘 다 사용해보지 않음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,사용할 필요성을 못느껴서,사용할 필요성을 못느껴서,
5.11.2024 22:42:38,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"정보 검색, 쇼핑",1~3회 구매,의류,70만원 이상~90만원 미만,5만원 이상 7만원 미만,좋음,좋음,보통,나쁨,좋음,보통,좋음,좋음,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 상품의 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등)",,4,,,
5.11.2024 22:42:44,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,가격 비교,1~3회 구매,"반려동물 용품, 기타",90만원 이상,3만원 미만,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,좋음,매우 좋음,매우 좋음,좋음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",2,5,,,
5.11.2024 22:44:41,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"좋은 혜택(할인/ 적립 등), 쇼핑",1~3회 구매,"식료품, 건강관리식품, 전자기기, 가전제품",90만원 이상,3만원 이상 5만원 미만,좋음,좋음,좋음,좋음,보통,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,네이버 쇼핑/경험O/경험 공유는 한 적 없음,,4,,,
5.11.2024 22:45:11,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",1~3회 구매,"전자기기, 가전제품, 서적",30만원 미만,3만원 이상 5만원 미만,보통,좋음,좋음,보통,좋음,좋음,좋음,좋음,좋음,상품의 신뢰도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 경험 X",,,,,
5.11.2024 22:45:46,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"정보 검색, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"의류, 악세서리(주얼리)",90만원 이상,10만원 이상,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점, 상품의 신뢰도, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,5,,,
5.11.2024 22:50:03,여,50대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,기타,50만원 이상~70만원 미만,3만원 미만,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,좋음,좋음,매우 좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",3,4,,,
5.11.2024 23:06:54,여,20대 미만,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 정보 검색",0회 구매,기타,30만원 이상~50만원 미만,3만원 미만,좋음,좋음,매우 좋음,좋음,좋음,좋음,좋음,좋음,보통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,4,,,
5.11.2024 23:07:31,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 정보 검색",1~3회 구매,"의류, 악세서리(주얼리)",30만원 이상~50만원 미만,3만원 이상 5만원 미만,보통,나쁨,보통,보통,보통,보통,보통,보통,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등), 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,3,,,
5.11.2024 23:27:11,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,의류,50만원 이상~70만원 미만,7만원 이상 10만원 미만,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,좋음,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",,5,,,
5.11.2024 23:39:00,여,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,좋은 혜택(할인/ 적립 등),가격 비교,1~3회 구매,4~6회 구매,악세서리(주얼리),"식료품, 건강관리식품",50만원 이상~70만원 미만,3만원 미만,3만원 이상 5만원 미만,좋음,나쁨,매우 좋음,좋음,좋음,매우 좋음,보통,좋음,좋음,좋음,좋음,보통,좋음,좋음,보통,좋음,좋음,좋음,"테무/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/경험 공유는 한 적 없음",3,3,,,
5.11.2024 23:57:46,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,1회~5회 이용,온라인의 편리성,0회 구매,기타,50만원 이상~70만원 미만,3만원 미만,보통,보통,보통,보통,보통,보통,보통,보통,보통,각종 혜택 및 적립,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,4,,,
5.12.2024 0:18:58,여,20대,둘 다 알고 있음,테무만 사용해봄,1회~5회 이용,"좋은 혜택(할인/ 적립 등), 쇼핑",0회 구매,의류,50만원 이상~70만원 미만,3만원 미만,보통,나쁨,좋음,매우 나쁨,나쁨,좋음,나쁨,보통,나쁨,가격적 측면에서의 장점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무/경험O/테무 사이트에 사용 후기, 네이버 경험 X",3,,,,
5.12.2024 0:29:25,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,좋은 혜택(할인/ 적립 등),1~3회 구매,"의류, 악세서리(주얼리)",30만원 이상~50만원 미만,5만원 이상 7만원 미만,좋음,좋음,보통,좋음,매우 좋음,좋음,좋음,좋음,좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/네이버 쇼핑 사이트에 사용 후기",,5,,,
5.12.2024 6:15:03,남,40대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,11~15회 이용,가격 비교,가격 비교,1~3회 구매,7~10회 구매,기타,기타,90만원 이상,5만원 이상 7만원 미만,10만원 이상,좋음,좋음,보통,나쁨,보통,나쁨,나쁨,좋음,매우 좋음,보통,매우 좋음,좋음,매우 좋음,좋음,나쁨,보통,나쁨,매우 좋음,"테무/경험O/온라인으로(친구한테 얘기 등), 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",3,4,,,
5.12.2024 7:06:06,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 좋은 혜택(할인/ 적립 등)",1~3회 구매,"의류, 기타",90만원 이상,3만원 이상 5만원 미만,좋음,좋음,좋음,좋음,보통,보통,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 가격적 측면에서의 장점, 상품의 신뢰도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,2,4,,,
5.12.2024 14:21:23,여,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,좋은 혜택(할인/ 적립 등),7~10회 구매,"의류, 전자기기, 가전제품, 악세서리(주얼리)",70만원 이상~90만원 미만,10만원 이상,좋음,좋음,보통,보통,좋음,좋음,좋음,좋음,좋음,"어플리케이션 또는 PC홈페이지 인터페이스의 간결함, 각종 혜택 및 적립",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"테무 경험 X, 네이버 쇼핑/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인으로(친구한테 얘기 등)",,5,,,
5.12.2024 16:06:11,남,20대,둘 다 알고 있음,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,"가격 비교, 정보 검색",4~6회 구매,"전자기기, 가전제품",90만원 이상,5만원 이상 7만원 미만,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,,,,
5.12.2024 16:08:57,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"정보 검색, 쇼핑",1~3회 구매,의류,50만원 이상~70만원 미만,5만원 이상 7만원 미만,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,매우 좋음,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,네이버 쇼핑/경험O/경험 공유는 한 적 없음,,,,,
5.12.2024 16:14:07,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,6~10회 이용,"가격 비교, 온라인의 편리성",1~3회 구매,"전자기기, 가전제품",50만원 이상~70만원 미만,3만원 미만,좋음,좋음,보통,좋음,좋음,매우 나쁨,좋음,좋음,좋음,테무가 뭔데,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,,,,
5.12.2024 16:58:32,남,20대,네이버 쇼핑은 알고 테무는 모름,네이버 쇼핑만 사용해봄,,,,,,,,,,,,,,,,,15회 초과 이용,가격 비교,1~3회 구매,"식료품, 건강관리식품",30만원 이상~50만원 미만,3만원 미만,좋음,좋음,매우 좋음,좋음,매우 좋음,좋음,좋음,매우 좋음,보통,어플리케이션 또는 PC홈페이지 인터페이스의 간결함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,테무 경험 X,,1,,,
5.12.2024 17:41:46,남,20대,둘 다 알고 있음,둘 다 사용해봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1회~5회 이용,1회~5회 이용,좋은 혜택(할인/ 적립 등),정보 검색,0회 구매,0회 구매,의류,"의류, 전자기기, 가전제품, 서적",30만원 이상~50만원 미만,3만원 미만,3만원 미만,매우 나쁨,매우 나쁨,좋음,보통,나쁨,좋음,보통,보통,보통,좋음,좋음,보통,좋음,좋음,보통,보통,보통,좋음,"테무/경험O/경험 공유는 한 적 없음, 네이버 쇼핑/경험O/온라인 통해(카톡, 유튜브 채널 등)",2,2,,,
